BLDG ID, STREET ADDRESS, ZIP CODE, LAST REG, RC COUNT, DOCKET NO, CASE TYPE, CASE STATUS, FILING DATE, CLOSING DATE, CLOSE CODE, STAFF ID, MCI ITEM, CLAIM COST, ALLOW COST, WK BEG DT
314320, 10 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, FO210025X, X, CLOSED, 03/30/2017, 04/24/2017, CW, RX-00003-17
326592, 15 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, YI210008OM, OM, CLOSED, 09/08/2010, 05/04/2011, DE, RISF-00047-13, BOILER REPLACEMENT, 93823.36, 0, 08/07/2007
325567, 27 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, CV210167X, X, CLOSED, 10/28/2014, 04/01/2015, GR, RX-00003-15
346537, 52 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, XC210185OM, OM, CLOSED, 03/17/2009, 04/19/2011, VO, M99
346537, 52 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, ZC210067OM, OM, CLOSED, 03/17/2011, 02/10/2014, GP, ROM-00004-14, BOILER-BURNER SYSTEM, 190000.00, 146294.79, 08/07/2007
346538, 58 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, CV210168X, X, CLOSED, 10/28/2014, 04/01/2015, GR, RX-00003-15
372098, 415 ARGYLE RD BROOKLYN NY, 11218, 2020, 0, CV210110X, X, CLOSED, 10/24/2014, 12/09/2014, CW, RTX-0001-14
347844, 646 ARGYLE RD BROOKLYN NY, 11230, 2019, 0, BQ210044OM, OM, CLOSED, 05/23/2013, 11/14/2014, GP, ROM-00066-14, PARAPET WALL, 105000.00, 105000.00, 08/16/2011
347844, 646 ARGYLE RD BROOKLYN NY, 11230, 2019, 0, BQ210044OM, OM, CLOSED, 05/23/2013, 11/14/2014, GP, ROM-00066-14, POINTNG & WATERPROOF, 8240.00, 8240.00, 08/16/2011
347844, 646 ARGYLE RD BROOKLYN NY, 11230, 2019, 0, BQ210044OM, OM, CLOSED, 05/23/2013, 11/14/2014, GP, ROM-00066-14, LINTEL REPLACEMENT, 6075.00, 0.00, 08/16/2011
347844, 646 ARGYLE RD BROOKLYN NY, 11230, 2019, 0, BQ210044OM, OM, CLOSED, 05/23/2013, 11/14/2014, GP, ROM-00066-14, NEW ROOF, 13500.00, 0.00, 08/16/2011
366644, 53 ARLINGTON AVE BROOKLYN NY, 11207, 2019, 0, XH210079OM, OM, CLOSED, 08/18/2009, 05/14/2010, GP, RXX-000922-18, REWIRING, 29800.00, 29440.00, 04/01/2008
335079, 74 ARLINGTON AVE BROOKLYN NY, 11207, 2020, 0, ZG210029OM, OM, CLOSED, 07/25/2011, 03/02/2012, GP, ROM-00019-12, ELEVATOR UPGRADING, 86316.00, 86151.00, 11/19/2009
359790, 122 ASHLAND PL BROOKLYN NY, 11201, 2020, 0, BT210018X, X, CLOSED, 08/13/2013, 08/13/2013, CW, RX-00013-13
359790, 122 ASHLAND PL BROOKLYN NY, 11201, 2020, 0, EV210049X, X, CLOSED, 10/14/2016, 10/17/2016, CW, RX-00006-16
374569, 155 ATLANTIC AVE BROOKLYN NY, 11201, 2013, 0, AR210042X, X, CLOSED, 06/22/2012, 08/01/2012, CW, RX-00011-12
379614, 168 ATLANTIC AVE BROOKLYN NY, 11201, 2020, 0, CV210093X, X, CLOSED, 10/23/2014, 11/28/2014, CW, RTX-0001-14
345200, 306 ATLANTIC AVE BROOKLYN NY, 11201, 2020, 1, AV230029OM, OM, CLOSED, 10/23/2012, 06/05/2013, GP, ROM-00041-13, BOILER, 29220.00, 25371.20, 09/01/2011
342665, 452 ATLANTIC AVE BROOKLYN NY, 11217, 2020, 0, BV210004OM, OM, CLOSED, 10/03/2013, 04/11/2014, GP, ROM-00016-14, BOILER/WATER HEATER, 12500.00, 12089.40, 07/31/2012
342665, 452 ATLANTIC AVE BROOKLYN NY, 11217, 2020, 0, CS210066OM, OM, CLOSED, 07/28/2014, 08/21/2015, GP, ROM-00048-15, INTERCOM, 6157.00, 6157.00, 09/01/2013
342665, 452 ATLANTIC AVE BROOKLYN NY, 11217, 2020, 0, CS210066OM, OM, CLOSED, 07/28/2014, 08/21/2015, GP, ROM-00048-15, TV/SECURITY SYSTEM, 5224.00, 5224.00, 09/01/2013
342665, 452 ATLANTIC AVE BROOKLYN NY, 11217, 2020, 0, CS210066OM, OM, CLOSED, 07/28/2014, 08/21/2015, GP, ROM-00048-15, ENTRANCE D/MAILBOXES, 10992.36, 4215.00, 01/06/2014
339605, 801 AVENUE C BROOKLYN NY, 11218, 2020, 0, HQ210064OM, OM, CLOSED, 05/24/2019, 09/03/2020, GP, M66, ELEVATOR UPGRADING, 155000.00, 153204.19, 12/28/2018
353152, 815 AVENUE C BROOKLYN NY, 11218, 2019, 0, CV210011OM, OM, CLOSED, 10/03/2014, 08/24/2015, GP, ROM-00046-15, REWIRING, 9600.00, 0.00, 08/24/2013
353152, 815 AVENUE C BROOKLYN NY, 11218, 2019, 0, CV210011OM, OM, CLOSED, 10/03/2014, 08/24/2015, GP, ROM-00046-15, NEW ROOF, 10510.00, 10510.00, 09/10/2012
353152, 815 AVENUE C BROOKLYN NY, 11218, 2019, 0, CV210011OM, OM, CLOSED, 10/03/2014, 08/24/2015, GP, ROM-00046-15, MAILBOXES, 575.00, 0.00, 06/28/2014
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, INTERCOM, 6857.19, 6678.26, 02/12/2009
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, EXTERIOR RESTORATION, 254700.00, 192700.00, 05/09/2008
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, ASBESTOS ABATEMENT, 29035.68, 0.00, 10/23/2008
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, WALL INSULATION, 31927.50, 0.00, 02/27/2009
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, ROOF INSULATION, 25882.50, 0.00, 05/29/2008
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, YG210017OM, OM, CLOSED, 07/07/2010, 04/17/2015, GP, RRT-00039-19, ENGINEERING FEES, 15423.00, 14151.57, 05/23/2007
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, BOILER/BURNER, 408057.50, 396492.00, 07/01/2015
327813, 5544 AVENUE D BROOKLYN NY, 11203, 2020, 0, FR210051OM, OM, CLOSED, 06/30/2017, 08/07/2018, GP, A1A99, COURTYARD & WALKWAYS, 417687.20, 295243.35, 04/01/2015
